Iteration,15th percentile,50th percentile,85th percentile
400,-1.175023931,0.01668318,1.184018481
401,-1.189226151,0.000934493,1.175789762
402,-1.193475163,0.026223253,1.163306826
403,-1.167065984,0.028891046,1.15922668
404,-1.17772063,0.034608193,1.151700014
405,-1.185914177,0.013534972,1.160336983
406,-1.180114198,0.032450372,1.150543767
407,-1.186078066,0.032627022,1.172980922
408,-1.164414096,0.026777421,1.156675571
409,-1.169663769,0.032206573,1.167379081
410,-1.180765033,0.04213191,1.150944626
411,-1.17024464,0.035403948,1.167119342
412,-1.171982718,0.028442988,1.15417819
413,-1.17888062,0.013570822,1.173917311
414,-1.187366885,0.025500389,1.16315124
415,-1.202884477,0.018831842,1.177626413
416,-1.189056224,0.037726419,1.15074352
417,-1.193332803,0.009958982,1.170521927
418,-1.177930927,0.012753046,1.151559162
419,-1.194137484,0.044892443,1.167210442
420,-1.184599787,0.016738996,1.177905178
421,-1.187583929,0.014172914,1.170124173
422,-1.176996422,0.028939709,1.149557811
423,-1.178968221,0.020539867,1.167779255
424,-1.193931639,0.026059337,1.163240969
425,-1.173253751,0.026574244,1.167781007
426,-1.18204,0.003734623,1.17877773
427,-1.178412706,0.007343085,1.178544408
428,-1.16939832,0.010595055,1.169321328
429,-1.178455746,0.023021462,1.151170677
430,-1.184734768,0.028122351,1.162204075
431,-1.188225782,0.02706647,1.154718417
432,-1.200091279,0.032616109,1.177065915
433,-1.164461243,0.006718553,1.173476112
434,-1.162415498,0.02982033,1.143079102
435,-1.185463727,0.01363332,1.16665867
436,-1.182911777,0.034828752,1.188838357
437,-1.171060961,0.006771741,1.162852198
438,-1.177887446,0.015709014,1.172248745
439,-1.179818952,0.024676872,1.159353679
440,-1.157052982,0.021867933,1.168713164
441,-1.172423249,-0.006523868,1.176897013
442,-1.175228906,0.025101352,1.158533341
443,-1.182646674,-0.0049811,1.191778696
444,-1.180552965,0.014437704,1.165033162
445,-1.195914787,0.016538628,1.167896074
446,-1.196399295,0.042736236,1.159485853
447,-1.200695425,0.039492769,1.171138144
448,-1.196495372,0.020522585,1.185930985
449,-1.187371927,0.006848416,1.170815986
450,-1.197456813,0.010605102,1.199078995
451,-1.177865189,0.009521065,1.175992751
452,-1.196520406,0.031984668,1.185037607
453,-1.187497962,0.02470442,1.165654689
454,-1.18044129,0.026120381,1.160633868
455,-1.175565225,0.040595271,1.165532738
456,-1.194037688,0.027084562,1.176795828
457,-1.192837441,0.005177091,1.199025476
458,-1.195518076,0.022955267,1.173456931
459,-1.185864562,0.030217431,1.17269538
460,-1.187673151,0.022577818,1.18488825
461,-1.199385858,0.023726543,1.175191814
462,-1.166263324,0.031272279,1.137113363
463,-1.17373907,0.024099313,1.162952256
464,-1.190446681,0.024828898,1.171292961
465,-1.18981148,0.010104286,1.189822853
466,-1.184244275,0.000837986,1.180261999
467,-1.181022286,0.007070564,1.171560246
468,-1.193715829,0.009019977,1.193501854
469,-1.185625535,0.03258018,1.164898831
470,-1.196366656,0.00786285,1.178890181
471,-1.192968649,0.002425979,1.168472266
472,-1.188543814,0.006517112,1.178967905
473,-1.193978131,0.031716678,1.1783553
474,-1.199751627,0.037723439,1.162147009
475,-1.200502115,0.007956391,1.192921054
476,-1.208792108,0.025861552,1.173952878
477,-1.21558947,0.02763248,1.176140255
478,-1.179918498,0.043450117,1.177843851
479,-1.185312372,0.023052949,1.171682924
480,-1.191735202,0.02360286,1.168012691
481,-1.195802414,0.010231083,1.175123328
482,-1.175413471,0.006821361,1.183195394
483,-1.193911427,0.000815165,1.209497148
484,-1.186933845,0.013999929,1.185964143
485,-1.188288808,0.014137188,1.200691521
486,-1.196124578,0.031104951,1.177225298
487,-1.187957454,0.034377458,1.177523273
488,-1.183181626,-0.001548585,1.195924753
489,-1.175027972,-0.005019169,1.163635343
490,-1.202899164,0.012565724,1.192141014
491,-1.181130403,0.018887102,1.179716617
492,-1.183378536,0.001675748,1.171580911
493,-1.212297899,0.012138837,1.1849675
494,-1.200321883,0.013083964,1.197522682
495,-1.202474689,0.027888778,1.181050944
496,-1.18806684,0.018845278,1.173202175
497,-1.190819895,0.023040022,1.183997971
498,-1.204303575,0.016272139,1.196819699
499,-1.188648915,0.025418133,1.186977828
500,-1.22397148,0.01777374,1.205647749
501,-1.198743612,0.013940705,1.199507248
502,-1.204112267,0.027296931,1.163450277
503,-1.217543644,0.039120194,1.185407257
504,-1.194304228,0.010212517,1.189321011
505,-1.198262471,0.031016496,1.189382577
506,-1.200568652,0.017077618,1.178440672
507,-1.197869498,0.024601993,1.201348215
508,-1.198259497,0.024772591,1.182921207
509,-1.195614272,0.00202299,1.191507822
510,-1.189775479,0.026180084,1.177144343
511,-1.210847241,-0.005094981,1.184369576
512,-1.18959626,0.023272667,1.181903517
513,-1.207756782,0.040048212,1.179919213
514,-1.192773509,0.009485186,1.18876574
515,-1.19996416,0.012078712,1.177370137
516,-1.200011247,0.034345314,1.170263523
517,-1.198575634,0.037231544,1.167170572
518,-1.2007523,0.031270858,1.193004322
519,-1.201108432,0.012381104,1.170219696
520,-1.175518411,0.009932221,1.183009964
521,-1.190358347,0.042396229,1.174328452
522,-1.188844746,0.027828473,1.166321939
523,-1.217560685,0.034280112,1.193691403
524,-1.208776093,0.021114967,1.186808348
525,-1.193988037,0.020879366,1.195209819
526,-1.196995628,0.013810792,1.173062283
527,-1.217177844,0.029675502,1.189293051
528,-1.213621676,0.032182023,1.168464291
529,-1.203775054,0.003696753,1.207019037
530,-1.19448247,0.038117204,1.181662911
531,-1.217910153,0.026116749,1.178080755
532,-1.173163939,0.033119546,1.187664354
533,-1.207943386,0.034151774,1.190527123
534,-1.187193441,0.007884894,1.187229842
535,-1.192052466,0.029791447,1.165695781
536,-1.203479272,0.013492768,1.192806023
537,-1.199328047,0.013075809,1.19284156
538,-1.192015564,0.015844449,1.166808236
539,-1.214683545,0.012634852,1.186906511
540,-1.220254034,0.031769879,1.179507565
541,-1.182647198,0.032636119,1.17674458
542,-1.218211573,0.038541593,1.161259425
543,-1.211259413,0.035531906,1.198831266
544,-1.18313942,0.034930672,1.168465173
545,-1.190329671,0.022805309,1.174736392
546,-1.203039372,0.010741691,1.191660988
547,-1.206284398,0.007580824,1.20297485
548,-1.211773676,0.028292571,1.190371299
549,-1.222630656,0.032838454,1.176060641
550,-1.186873782,0.028415903,1.185287803
551,-1.187373978,0.013677187,1.187045664
552,-1.213097769,0.028576912,1.188636225
553,-1.183363307,0.031130573,1.186350536
554,-1.218909925,0.030979283,1.189251465
555,-1.197540277,0.003493472,1.186103451
556,-1.206409061,0.02768884,1.204826838
557,-1.192797107,0.013118627,1.193861693
558,-1.212051767,0.010188336,1.193777126
559,-1.193676859,0.043287264,1.169266611
560,-1.213184208,0.011757434,1.215111911
561,-1.211115658,0.037252456,1.188905537
562,-1.206373012,0.010399639,1.204422772
563,-1.195702153,0.025675041,1.184809321
564,-1.198141491,0.00117511,1.187021756
565,-1.207189459,0.032163955,1.205475444
566,-1.185178107,-0.009819205,1.19172352
567,-1.217090738,0.030704466,1.188558888
568,-1.222683722,0.035167996,1.174325925
569,-1.198978096,0.016341714,1.190175176
570,-1.200917876,0.036363069,1.169256705
571,-1.195145375,0.032219103,1.210574389
572,-1.20808894,-0.005560284,1.194059569
573,-1.213665992,0.029068431,1.192159617
574,-1.200151002,0.008167257,1.191061056
575,-1.203801841,0.004442149,1.193901187
576,-1.218372053,0.043561518,1.192210579
577,-1.205555433,0.0295308,1.195851213
578,-1.211653376,0.037743049,1.218978363
579,-1.199448496,0.025750701,1.190398312
580,-1.173632491,-0.006960724,1.17719692
581,-1.194467974,0.0174069,1.199101686
582,-1.201884276,0.019029056,1.193885475
583,-1.20625003,0.029086279,1.195261925
584,-1.210904729,0.008861676,1.206992531
585,-1.215389794,0.016311562,1.207853746
586,-1.197219378,0.008536282,1.211078185
587,-1.213642204,0.016351124,1.200109452
588,-1.218607283,0.029524663,1.197507566
589,-1.220040536,0.008134585,1.211541599
590,-1.210386753,0.028451575,1.204838437
591,-1.224141032,0.057863247,1.164958757
592,-1.209804398,0.032504488,1.195602757
593,-1.205714697,0.007759361,1.221815103
594,-1.215163296,0.021416068,1.207207376
595,-1.229191035,0.013745244,1.196335167
596,-1.223778498,0.028037569,1.217400026
597,-1.231702131,0.026865763,1.210676235
598,-1.228194356,0.017755303,1.208686131
599,-1.205042106,-0.012963213,1.216821235
600,-1.200774246,0.023809606,1.181852043
601,-1.207124346,0.016444692,1.197747594
602,-1.225276315,0.041759238,1.183168668
603,-1.223485905,0.019454639,1.204350644
604,-1.212182814,0.01396551,1.184074235
605,-1.224183434,0.021007362,1.213612455
606,-1.221034116,0.015719094,1.207229322
607,-1.208247036,0.0192974,1.200095558
